,City,Country,Latitude,Longitude,Temp (°F),Max Temp (°F),Humidity (%),Cloudiness (%),Wind Speed (mph)
377,ternate,ID,0.8,127.4,80.33,80.33,78,96,7.99
378,yurginskoye,RU,56.8189,67.3921,18.41,18.41,96,100,9.69
379,metro,ID,-5.1131,105.3067,73.65,73.65,94,100,7.34
380,half moon bay,LR,6.3807,-10.6953,77.0,77.0,94,0,5.75
381,darhan,MN,49.4867,105.9228,-7.11,-7.11,86,45,4.21
382,alice springs,US,27.7523,-98.0697,62.6,62.6,48,1,9.22
383,olinda,BR,-8.0089,-34.8553,78.8,78.8,69,40,6.91
384,lata,PT,40.1629,-8.3327,56.05,56.05,93,84,1.3
385,kasama,ZM,-10.2129,31.1808,61.2,61.2,95,100,3.83
386,sao jose da tapera,IN,20.5113,76.2129,58.17,58.17,43,10,5.39
387,saint-joseph,RE,-21.3667,55.6167,77.63,77.63,69,11,2.89
388,hamilton,US,39.1834,-84.5333,26.6,26.6,86,0,4.47
389,thyboron,DK,56.6985,8.2124,32.52,32.52,90,100,7.76
390,sistranda,NO,63.7256,8.834,34.68,34.68,81,100,22.26
391,san fernando,ML,13.3034,-4.8956,70.63,70.63,16,0,7.4
392,kavaratti,IN,10.5669,72.642,80.01,80.01,70,12,8.1
393,deputatskiy,RU,69.3,139.9,-36.99,-36.99,81,85,2.98
394,vestmannaeyjar,IS,63.4427,-20.2734,33.58,33.58,85,6,10.83
395,victoria point,HK,22.2855,114.1577,55.2,57.0,50,17,8.01
396,kamsack,CA,51.5667,-101.9009,6.8,6.8,85,90,11.5
397,micheweni,TZ,-4.9667,39.8333,79.74,79.74,82,1,10.54
398,puerto baquerizo moreno,ES,36.5939,-6.233,53.74,54.0,100,90,2.3
399,ranong,TH,9.9658,98.6348,77.0,77.0,88,20,2.3
400,sao felix do xingu,IN,20.5113,76.2129,58.17,58.17,43,10,5.39
401,katakwi,UG,1.8911,33.9661,69.75,69.75,49,42,5.5
402,syracuse,IT,37.0881,15.2792,51.04,53.01,87,20,5.75
403,tautira,PF,-17.7333,-149.15,82.2,82.4,74,75,2.3
404,olafsvik,IS,64.8945,-23.7142,29.48,29.48,87,75,2.8
405,fort saint john,NL,52.6517,6.3861,36.28,37.99,93,100,5.01
406,salalah,OM,17.0151,54.0924,71.6,71.6,60,40,2.3
407,biu,NG,10.6129,12.1946,67.75,67.75,21,93,11.12
408,yuci,CN,37.6803,112.7319,10.4,10.4,56,0,4.47
409,bam,IR,29.106,58.357,50.94,50.94,33,4,4.56
410,nikita,UA,44.5333,34.2333,39.0,39.0,62,64,7.0
411,antsohihy,MG,-14.8796,47.9875,74.91,74.91,94,76,0.98
412,derzhavinsk,KZ,51.1,66.3167,17.94,17.94,92,0,9.24
413,bayji,IQ,34.9311,43.487,50.92,50.92,72,42,3.33
414,miri,MY,4.4148,114.0089,75.11,75.2,100,40,10.36
415,troitskoye,RU,52.9821,84.6757,22.64,22.64,95,100,20.18
416,gisborne,NZ,-38.6533,178.0042,59.95,59.95,76,90,15.3
417,ayer itam,ES,43.1187,-5.5839,53.04,59.0,84,90,3.0
418,zlitan,LY,32.4674,14.5687,57.88,57.88,79,26,10.56
419,urucara,BR,-2.5364,-57.76,75.43,75.43,94,90,2.33
420,catamarca,AR,-28.4696,-65.7852,82.38,82.38,44,35,15.19
421,katunino,RU,64.3862,40.6298,5.0,5.0,78,90,11.18
422,izumo,JP,35.3667,132.7667,32.0,32.0,74,75,18.41
423,simpang,ID,-1.2667,104.0833,74.8,74.8,94,100,4.63
424,tanout,NE,14.9709,8.8879,61.56,61.56,29,0,13.04
425,merauke,ID,-8.4667,140.3333,83.82,83.82,73,100,18.16
426,kemijarvi,FI,66.7131,27.4306,11.61,11.61,95,100,10.2
427,bud,US,39.447,-86.1758,26.01,27.0,78,0,5.46
428,aykhal,RU,66.0,111.5,-36.65,-36.65,80,76,5.1
429,salinopolis,BR,-0.6136,-47.3561,79.41,79.41,83,98,11.61
430,miguel hidalgo,BR,-5.0092,-38.704,76.78,76.78,80,99,7.7
431,avera,US,33.194,-82.5271,43.39,46.4,46,1,6.91
432,prado,BR,-17.3411,-39.2208,76.73,76.73,86,5,7.27
433,brigantine,US,39.4101,-74.3646,27.46,27.46,83,18,25.97
434,komatipoort,ZA,-25.4332,31.9548,70.14,71.01,77,91,4.72
435,palembang,ID,-2.9167,104.7458,75.2,75.2,94,40,5.75
436,kuito,AO,-12.3833,16.9333,61.21,61.21,77,100,4.21
437,ust-nera,RU,64.5667,143.2,-25.53,-25.53,76,100,1.68
438,chunskiy,RU,56.0815,99.6342,-35.54,-35.54,80,47,2.91
439,makakilo city,US,21.3524,-158.0865,78.8,80.6,57,40,13.8
440,severobaykalsk,RU,55.65,109.3167,-18.69,-18.69,80,41,6.8
441,chikmagalur,IN,13.3167,75.7833,57.81,57.81,96,46,3.76
442,ulaanbaatar,MN,47.9077,106.8832,-2.2,-2.2,71,0,4.47
443,huescar,ES,37.811,-2.5412,50.49,52.0,75,100,2.44
444,lalmohan,BD,22.3384,90.7419,60.53,60.53,61,0,9.24
445,buala,SB,-8.145,159.5921,81.66,81.66,83,100,15.35
446,weiser,US,44.251,-116.9693,42.78,46.4,71,90,5.75
447,katangli,RU,51.7102,143.2326,-5.66,-5.66,90,45,5.97
448,anadyr,RU,64.75,177.4833,1.18,1.4,66,100,11.18
449,pamanukan,ID,-6.2842,107.8106,75.27,75.27,89,100,7.65
450,clarksburg,US,39.2807,-80.3445,23.0,23.0,58,90,10.36
451,illapel,CL,-31.6308,-71.1653,61.9,61.9,57,9,2.86
452,bilma,NE,18.6853,12.9164,63.0,63.0,28,0,11.79
453,monrovia,LR,6.3005,-10.7969,77.0,77.0,94,0,8.48
454,inhambane,MZ,-23.865,35.3833,78.31,78.31,88,10,4.81
455,wakema,MM,16.6,95.1833,71.49,71.49,78,8,5.06
456,sinnamary,GF,5.3833,-52.95,76.69,76.69,83,86,9.28
457,huntsville,US,34.7304,-86.5861,33.62,33.62,84,0,7.92
458,boca de parita,IT,45.679,8.4087,35.85,37.99,87,2,1.74
459,kloulklubed,PW,7.0419,134.2556,78.8,78.8,94,90,8.05
460,bethel,US,41.3712,-73.414,19.92,21.0,55,0,1.01
461,husavik,IS,66.0449,-17.3389,15.22,15.22,87,80,10.09
462,nizhniy tsasuchey,RU,45.3926,39.2364,34.95,36.0,93,0,4.47
463,sampit,ID,-2.5333,112.95,74.46,74.46,95,100,1.21
464,ambon,ID,-3.6954,128.1814,82.4,82.4,74,40,8.05
465,omaruru,NA,-21.4333,15.9333,73.85,73.85,54,65,3.89
466,yarim,YE,14.298,44.3779,46.62,46.62,54,0,1.99
467,ajdabiya,LY,30.7554,20.2263,52.5,52.5,78,13,4.83
468,anshun,CN,26.25,105.9333,40.17,40.17,76,99,6.46
469,catuday,PH,16.2923,119.8062,74.79,74.79,74,24,15.41
470,rajanpur,PK,29.1035,70.325,45.7,45.7,52,0,0.96
471,pafos,CY,34.7667,32.4167,46.35,48.2,87,75,5.75
472,kifri,IQ,34.6959,44.9661,50.85,50.85,63,0,2.57
473,high level,US,33.6123,-95.7472,43.32,44.01,70,94,5.12
474,taiping,MY,4.85,100.7333,70.23,70.23,89,100,3.33
475,flin flon,FR,48.4982,6.6557,48.72,48.72,92,100,14.83
476,sarahan,IN,31.5167,77.8,28.78,28.78,62,20,9.31
477,westport,US,41.1415,-73.3579,24.15,26.6,43,1,16.11
478,gornyak,RU,50.9942,81.4661,14.86,14.86,95,99,13.33
479,phangnga,TH,8.4509,98.5298,71.92,71.92,93,89,3.09
480,tawang,IN,27.5833,91.8667,29.35,29.35,67,2,4.05
481,botwood,CA,49.1499,-55.3482,16.11,16.11,96,78,5.17
482,kilindoni,TZ,-7.9139,39.6668,81.3,81.3,79,18,13.2
483,chake chake,CN,23.86,103.046,47.61,47.61,76,100,2.42
484,lahij,YE,13.1667,44.5833,66.47,66.47,71,0,4.85
485,juegang,CN,32.3174,121.1855,35.01,35.01,66,0,1.88
486,pombia,IT,45.653,8.6336,34.02,37.99,100,2,4.61
487,atyrau,KZ,47.1167,51.8833,35.6,35.6,60,75,26.84
488,vila franca do campo,PT,42.0304,-8.1588,52.0,52.0,95,99,7.0
489,keelung,TW,25.1283,121.7419,57.4,57.99,62,75,11.5
490,shebalino,RU,51.2917,85.6772,18.19,18.19,89,82,7.29
491,christchurch,NZ,-43.5333,172.6333,56.73,56.73,47,21,20.69
492,freeport,US,40.6576,-73.5832,26.01,28.0,39,1,17.27
493,durban,ZA,-29.8579,31.0292,68.52,70.0,88,75,4.61
494,portland,US,45.5234,-122.6762,45.09,46.99,76,90,5.75
495,cascais,PT,38.6979,-9.4215,57.52,57.52,87,68,5.32
496,warrnambool,AU,-38.3833,142.4833,66.0,66.0,95,100,8.01
497,nyuksenitsa,RU,60.4128,44.2397,23.47,23.47,98,100,7.49
498,port said,CD,-7.0349,29.7638,72.3,72.3,71,65,8.08
499,bloomfield,US,40.8068,-74.1854,21.51,21.51,78,1,17.74
500,boende,CD,-0.2167,20.8667,71.53,71.53,92,81,1.7
501,antigonish,CA,45.6169,-61.9986,25.74,26.01,80,99,1.01
502,aksha,RU,50.2814,113.2867,-3.46,-3.46,87,100,7.0
503,sosnovo-ozerskoye,RU,52.5249,111.5418,-25.67,-25.67,85,98,7.29
504,robertson,US,36.5167,-86.8667,29.75,30.2,59,1,5.75
505,simao,CN,22.7886,100.9748,50.88,50.88,95,1,2.35
506,grand-santi,GF,4.25,-54.3833,72.61,72.61,95,80,2.8
507,kikwit,CD,-5.041,18.8162,70.93,70.93,93,77,0.89
508,lufilufi,WS,-13.8745,-171.5986,82.67,82.67,75,99,18.61
509,tura,IN,25.5198,90.2201,55.71,55.71,63,0,2.86
510,port hawkesbury,CD,-7.0349,29.7638,72.3,72.3,71,65,8.08
511,chagoda,RU,59.164,35.3285,28.33,28.33,99,100,6.24
512,wageningen,NL,51.9667,5.6667,40.24,40.24,96,97,7.63
513,ayaviri,PE,-14.8864,-70.5889,45.86,45.86,78,77,2.51
514,ambilobe,MG,-13.2,49.05,73.92,73.92,92,81,2.33
515,whitehorse,CA,60.7161,-135.0538,-7.94,-7.01,71,90,25.32
516,lompoc,US,34.6391,-120.4579,48.34,51.8,87,90,6.91
517,kochubey,RU,44.3861,46.5825,40.87,40.87,84,94,14.03
518,okhotsk,RU,59.3833,143.3,-12.69,-12.69,79,0,4.83
519,karamakhi,RU,42.6193,47.2602,34.09,34.09,89,100,4.83
520,moba,CN,33.2288,105.0179,27.73,27.73,97,84,2.37
521,bani walid,DO,18.2833,-70.3333,79.0,79.0,95,24,3.69
522,cabra,ES,37.4725,-4.4421,47.66,48.2,100,90,2.37
523,kieta,PG,-6.2167,155.6333,85.39,85.39,72,100,12.95
524,fortuna,US,40.5982,-124.1573,47.61,48.99,93,90,3.74
525,balakhninskiy,RU,58.0106,114.2769,-36.27,-36.27,76,94,1.54
526,omsukchan,RU,62.5333,155.8,-30.89,-30.89,80,100,4.59
527,beloha,MG,-25.1667,45.05,74.91,74.91,93,30,4.36
528,cairns,AU,-16.9167,145.7667,78.51,80.01,94,75,8.05
529,natal,BR,-5.795,-35.2094,80.6,80.6,74,40,11.5
530,sorong,ID,-0.8833,131.25,80.69,80.69,81,100,13.18
531,grand centre,US,38.8755,-109.5012,41.0,41.0,45,1,6.91
532,zlotow,PL,53.3635,17.0408,28.99,28.99,96,42,5.01
533,nemuro,JP,43.3236,145.575,26.6,26.6,80,75,14.97
534,awjilah,LY,29.1081,21.2869,50.9,50.9,86,10,7.7
535,mayumba,GA,-3.432,10.6554,77.99,77.99,85,89,0.81
536,goure,NE,13.9835,10.2704,66.11,66.11,22,1,11.41
537,buta,CD,2.7858,24.73,69.85,69.85,96,85,0.72
538,ostrovnoy,RU,68.0531,39.5131,2.34,2.34,89,99,16.78
539,hun,LY,29.1268,15.9477,51.42,51.42,69,0,5.53
540,sergach,RU,55.5308,45.4661,14.16,14.16,96,94,8.32
541,acarau,BR,-2.8856,-40.12,80.71,80.71,76,98,14.29
542,poltavka,RU,54.3663,71.7632,23.16,23.16,94,100,17.11
543,nuevitas,CU,21.5453,-77.2644,73.4,73.4,73,20,6.91
544,beeville,US,28.4008,-97.7483,60.04,60.8,44,1,4.61
545,luderitz,NA,-26.6481,15.1594,68.95,68.95,50,0,24.16
546,woodstock,CA,43.1334,-80.7497,18.3,19.4,73,85,6.91
547,wanning,CN,18.8003,110.3967,65.16,65.16,81,84,10.96
548,changqing,CN,36.5575,116.7272,37.0,37.0,34,0,3.0
549,talara,PE,-4.5772,-81.2719,74.91,74.91,80,83,8.88
550,shu,KZ,43.5983,73.7614,16.0,16.0,67,0,5.01
551,point pedro,ZA,-29.8647,31.0413,71.19,71.19,80,100,2.44
552,raiganj,IN,25.6167,88.1167,53.56,53.56,51,0,7.18
553,hami,CN,42.8,93.45,18.81,18.81,84,0,4.74
554,allanridge,ZA,-27.7543,26.6438,59.0,59.0,92,77,9.93
555,sedalia,US,38.7045,-93.2283,33.62,34.0,60,1,6.91
556,karratha,AU,-20.7377,116.8463,87.6,87.6,55,0,9.35
557,zhaozhou,CN,45.6833,125.3167,-19.52,-19.52,84,0,4.14
558,dolores,AR,-36.3132,-57.6792,70.11,70.11,78,92,6.87
559,republic,US,37.12,-93.4802,35.46,36.0,60,1,10.36
560,pombas,CV,17.1503,-25.0201,69.8,69.8,83,20,20.71
561,mahanoro,MG,-19.9,48.8,76.64,76.64,83,2,2.73
562,odweyne,SO,9.4092,45.064,62.11,62.11,59,0,3.18
563,kargasok,RU,59.0556,80.8572,3.74,3.74,94,100,1.32
564,turangi,NZ,-39.0,175.9333,71.01,71.01,46,41,4.0
